client_id,algorithm,model_id,image_number,signal_gain,image_file,iters,erro_final,converg,tempo_inicio,tempo_final,reconstruction_time
40,CGNR,60x60,5,0.5734,reconstructed_client40_CGNR_img5.png,4,7.193416968220845e-05,True,2026-05-29T17:48:15.868,2026-05-29T17:48:16.797,0.9296981669999695
41,CGNE,60x60,4,0.8834,reconstructed_client41_CGNE_img4.png,5,9.37424338189885e-05,True,2026-05-29T17:47:57.488,2026-05-29T17:47:58.539,1.0506129579998742
41,CGNR,60x60,4,0.8834,reconstructed_client41_CGNR_img4.png,3,9.74193389993161e-05,True,2026-05-29T17:47:55.924,2026-05-29T17:47:56.722,0.7972905000001447
42,CGNE,30x30,1,1.1753,reconstructed_client42_CGNE_img1.png,2,9.817389218369499e-05,True,2026-05-29T17:47:59.800,2026-05-29T17:48:00.179,0.3789789170000404
42,CGNR,30x30,1,1.1753,reconstructed_client42_CGNR_img1.png,2,8.30102144391276e-05,True,2026-05-29T17:47:58.384,2026-05-29T17:47:58.548,0.16482712500010166
43,CGNE,60x60,5,0.5449,reconstructed_client43_CGNE_img5.png,4,9.770972974365577e-05,True,2026-05-29T17:47:50.601,2026-05-29T17:47:51.415,0.8136723750003512
43,CGNR,60x60,5,0.5449,reconstructed_client43_CGNR_img5.png,3,9.567030792823061e-05,True,2026-05-29T17:47:53.826,2026-05-29T17:47:54.130,0.30364462499983347
44,CGNE,30x30,3,0.5914,reconstructed_client44_CGNE_img3.png,10,193658928.0,False,2026-05-29T17:48:00.404,2026-05-29T17:48:00.948,0.5441615830000046
44,CGNR,30x30,3,0.5914,reconstructed_client44_CGNR_img3.png,10,3739145.5,False,2026-05-29T17:47:58.992,2026-05-29T17:47:59.657,0.6645562089997838
45,CGNE,30x30,1,1.1261,reconstructed_client45_CGNE_img1.png,2,9.406415483681485e-05,True,2026-05-29T17:48:15.711,2026-05-29T17:48:15.960,0.2489040830000704
45,CGNR,30x30,1,1.1261,reconstructed_client45_CGNR_img1.png,2,7.953526073833928e-05,True,2026-05-29T17:48:15.973,2026-05-29T17:48:16.359,0.3856177910001861
46,CGNE,60x60,4,0.8162,reconstructed_client46_CGNE_img4.png,4,9.850367496255785e-05,True,2026-05-29T17:48:07.390,2026-05-29T17:48:08.257,0.8666744160000235
46,CGNR,60x60,4,0.8162,reconstructed_client46_CGNR_img4.png,3,9.000865975394845e-05,True,2026-05-29T17:48:04.842,2026-05-29T17:48:05.462,0.6202773750001143
47,CGNE,60x60,6,1.2099,reconstructed_client47_CGNE_img6.png,10,1058556.875,False,2026-05-29T17:48:08.951,2026-05-29T17:48:10.904,1.953106791999744
47,CGNR,60x60,6,1.2099,reconstructed_client47_CGNR_img6.png,10,30677.58203125,False,2026-05-29T17:48:06.585,2026-05-29T17:48:08.562,1.9773060409997925
48,CGNE,30x30,2,0.7022,reconstructed_client48_CGNE_img2.png,2,7.585377170471475e-05,True,2026-05-29T17:47:46.916,2026-05-29T17:47:46.958,0.04227158399999098
48,CGNR,30x30,2,0.7022,reconstructed_client48_CGNR_img2.png,2,6.285816198214889e-05,True,2026-05-29T17:47:44.289,2026-05-29T17:47:44.327,0.03760274999967805
49,CGNE,30x30,1,0.7376,reconstructed_client49_CGNE_img1.png,2,6.161235069157556e-05,True,2026-05-29T17:47:51.126,2026-05-29T17:47:51.426,0.29998574999990524
49,CGNR,30x30,1,0.7376,reconstructed_client49_CGNR_img1.png,1,9.757505904417485e-05,True,2026-05-29T17:47:49.144,2026-05-29T17:47:49.161,0.016820750000078988
50,CGNE,30x30,1,1.3552,reconstructed_client50_CGNE_img1.png,3,7.162037945818156e-05,True,2026-05-29T17:47:52.728,2026-05-29T17:47:52.791,0.0628782499998124
50,CGNR,30x30,1,1.3552,reconstructed_client50_CGNR_img1.png,2,9.571630653226748e-05,True,2026-05-29T17:47:53.943,2026-05-29T17:47:53.994,0.05088808299979064
51,CGNE,60x60,6,1.4253,reconstructed_client51_CGNE_img6.png,10,1247016.5,False,2026-05-29T17:48:06.537,2026-05-29T17:48:08.528,1.9904174580001381
51,CGNR,60x60,6,1.4253,reconstructed_client51_CGNR_img6.png,10,36139.1484375,False,2026-05-29T17:48:01.763,2026-05-29T17:48:03.610,1.847447457999806
52,CGNE,60x60,5,0.8972,reconstructed_client52_CGNE_img5.png,8,9.307343862019479e-05,True,2026-05-29T17:48:04.744,2026-05-29T17:48:06.200,1.4561751669998557
52,CGNR,60x60,5,0.8972,reconstructed_client52_CGNR_img5.png,5,8.545932359993458e-05,True,2026-05-29T17:48:02.904,2026-05-29T17:48:03.867,0.9628036249996512
53,CGNE,60x60,6,1.4145,reconstructed_client53_CGNE_img6.png,10,1237565.75,False,2026-05-29T17:47:44.980,2026-05-29T17:47:45.991,1.0108527909997065
53,CGNR,60x60,6,1.4145,reconstructed_client53_CGNR_img6.png,10,35865.3125,False,2026-05-29T17:47:43.168,2026-05-29T17:47:44.118,0.9504434589998709
54,CGNE,60x60,4,1.0623,reconstructed_client54_CGNE_img4.png,6,9.835132368607447e-05,True,2026-05-29T17:48:17.156,2026-05-29T17:48:18.595,1.4388708330002373
54,CGNR,60x60,4,1.0623,reconstructed_client54_CGNR_img4.png,4,8.648130460642278e-05,True,2026-05-29T17:48:13.768,2026-05-29T17:48:14.936,1.1679172910003217
55,CGNE,60x60,4,1.0909,reconstructed_client55_CGNE_img4.png,7,9.551198309054598e-05,True,2026-05-29T17:48:16.952,2026-05-29T17:48:18.299,1.3479010420001032
55,CGNR,60x60,4,1.0909,reconstructed_client55_CGNR_img4.png,4,8.880960376700386e-05,True,2026-05-29T17:48:14.955,2026-05-29T17:48:15.704,0.7494098339998345
56,CGNE,30x30,2,0.9604,reconstructed_client56_CGNE_img2.png,3,7.563555118395016e-05,True,2026-05-29T17:48:04.727,2026-05-29T17:48:04.976,0.2482645830000365
56,CGNR,30x30,2,0.9604,reconstructed_client56_CGNR_img2.png,2,8.597117994213477e-05,True,2026-05-29T17:48:06.995,2026-05-29T17:48:07.488,0.4928732920002403
57,CGNE,30x30,2,1.2991,reconstructed_client57_CGNE_img2.png,4,7.835624273866415e-05,True,2026-05-29T17:47:44.638,2026-05-29T17:47:44.722,0.08369491699977516
57,CGNR,30x30,2,1.2991,reconstructed_client57_CGNR_img2.png,3,7.68136014812626e-05,True,2026-05-29T17:47:47.246,2026-05-29T17:47:47.301,0.054935542000293935
58,CGNE,60x60,4,1.3009,reconstructed_client58_CGNE_img4.png,8,8.724419603822753e-05,True,2026-05-29T17:48:18.158,2026-05-29T17:48:19.208,1.050317332999839
58,CGNR,60x60,4,1.3009,reconstructed_client58_CGNR_img4.png,5,8.402662206208333e-05,True,2026-05-29T17:48:17.642,2026-05-29T17:48:18.638,0.9962576660000195
59,CGNE,60x60,5,1.4783,reconstructed_client59_CGNE_img5.png,10,0.00013376507558859885,False,2026-05-29T17:47:51.375,2026-05-29T17:47:52.627,1.2520112500001233
59,CGNR,60x60,5,1.4783,reconstructed_client59_CGNR_img5.png,7,9.63710990617983e-05,True,2026-05-29T17:47:49.371,2026-05-29T17:47:50.146,0.774477041999944
60,CGNE,30x30,2,1.1877,reconstructed_client60_CGNE_img2.png,3,9.353618952445686e-05,True,2026-05-29T17:48:02.657,2026-05-29T17:48:03.030,0.37384925000014846
60,CGNR,30x30,2,1.1877,reconstructed_client60_CGNR_img2.png,3,7.022663339739665e-05,True,2026-05-29T17:48:01.763,2026-05-29T17:48:02.037,0.27400933300032193
61,CGNE,30x30,3,0.8316,reconstructed_client61_CGNE_img3.png,10,272314144.0,False,2026-05-29T17:47:50.291,2026-05-29T17:47:50.659,0.36838241699979335
61,CGNR,30x30,3,0.8316,reconstructed_client61_CGNR_img3.png,10,5257817.5,False,2026-05-29T17:47:48.384,2026-05-29T17:47:48.724,0.3395015420001073
62,CGNE,60x60,4,0.8886,reconstructed_client62_CGNE_img4.png,5,9.429418423678726e-05,True,2026-05-29T17:48:15.333,2026-05-29T17:48:16.633,1.3000977910000984
62,CGNR,60x60,4,0.8886,reconstructed_client62_CGNR_img4.png,3,9.799282997846603e-05,True,2026-05-29T17:48:16.224,2026-05-29T17:48:16.944,0.7202109170002586
63,CGNE,60x60,6,1.0785,reconstructed_client63_CGNE_img6.png,10,943594.625,False,2026-05-29T17:48:02.653,2026-05-29T17:48:04.753,2.099873832999947
63,CGNR,60x60,6,1.0785,reconstructed_client63_CGNR_img6.png,10,27345.873046875,False,2026-05-29T17:47:59.659,2026-05-29T17:48:01.740,2.0808624589999454
64,CGNE,30x30,1,1.2065,reconstructed_client64_CGNE_img1.png,3,6.376174133038148e-05,True,2026-05-29T17:47:51.266,2026-05-29T17:47:51.490,0.2243775000001733
64,CGNR,30x30,1,1.2065,reconstructed_client64_CGNR_img1.png,2,8.521368727087975e-05,True,2026-05-29T17:47:52.843,2026-05-29T17:47:52.889,0.045923874999971304
65,CGNE,60x60,6,0.6582,reconstructed_client65_CGNE_img6.png,10,575867.1875,False,2026-05-29T17:48:11.702,2026-05-29T17:48:14.209,2.5062880410000616
65,CGNR,60x60,6,0.6582,reconstructed_client65_CGNR_img6.png,10,16688.970703125,False,2026-05-29T17:48:13.932,2026-05-29T17:48:16.108,2.176075625000067
66,CGNE,60x60,4,1.0861,reconstructed_client66_CGNE_img4.png,7,9.509184747003019e-05,True,2026-05-29T17:47:48.747,2026-05-29T17:47:49.605,0.8582363749997057
66,CGNR,60x60,4,1.0861,reconstructed_client66_CGNR_img4.png,4,8.841887029120699e-05,True,2026-05-29T17:47:50.669,2026-05-29T17:47:51.389,0.7203678329997274
67,CGNE,30x30,1,0.629,reconstructed_client67_CGNE_img1.png,1,9.169746772386134e-05,True,2026-05-29T17:47:52.415,2026-05-29T17:47:52.446,0.03142304199991486
67,CGNR,30x30,1,0.629,reconstructed_client67_CGNR_img1.png,1,8.32086443551816e-05,True,2026-05-29T17:47:53.519,2026-05-29T17:47:53.540,0.020826041999953304
68,CGNE,60x60,5,1.3727,reconstructed_client68_CGNE_img5.png,10,0.00012420967686921358,False,2026-05-29T17:48:07.842,2026-05-29T17:48:09.933,2.090795334000177
68,CGNR,60x60,5,1.3727,reconstructed_client68_CGNR_img5.png,7,8.948698814492673e-05,True,2026-05-29T17:48:10.048,2026-05-29T17:48:11.437,1.3889416250003705
69,CGNE,30x30,1,0.6018,reconstructed_client69_CGNE_img1.png,1,8.773215813562274e-05,True,2026-05-29T17:47:59.547,2026-05-29T17:47:59.797,0.25026183399995716
69,CGNR,30x30,1,0.6018,reconstructed_client69_CGNR_img1.png,1,7.961039227666333e-05,True,2026-05-29T17:47:58.547,2026-05-29T17:47:58.665,0.11831729200002883
70,CGNE,30x30,3,0.9876,reconstructed_client70_CGNE_img3.png,10,323401952.0,False,2026-05-29T17:48:03.559,2026-05-29T17:48:04.411,0.8516432080000413
70,CGNR,30x30,3,0.9876,reconstructed_client70_CGNR_img3.png,10,6244132.5,False,2026-05-29T17:48:05.240,2026-05-29T17:48:05.935,0.6950094170001648
71,CGNE,60x60,6,0.7098,reconstructed_client71_CGNE_img6.png,10,621014.4375,False,2026-05-29T17:48:12.939,2026-05-29T17:48:15.007,2.0684680419999495
